disease,symptoms
Anemia,"Memory difficulties present"
Anemia,"Confusion in severe cases"
Anemia,"Pica cravings for non-food"
Anemia,"Clay eating behavior"
Anemia,"Starch craving unusual"
Anemia,"Paper chewing habit"
Anemia,"Ice chewing compulsive"
Anemia,"Fatigue worse in evening"
Anemia,"Weakness after meals"
Anemia,"Dizziness when bending"
Anemia,"Fainting spells rare"
Anemia,"Palpitations noticeable"
Anemia,"Swelling in legs sometimes"
Anemia,"Yellow skin in hemolysis"
Anemia,"Dark urine in some types"
Anemia,"Abdominal pain occasional"
Anemia,"Enlarged spleen possible"
Anemia,"Fever in certain anemias"
Anemia,"Infections more frequent"
Anemia,"Bleeding problems occur"
Anemia,"Easy bruising evident"
Anemia,"Nosebleeds more common"
Anemia,"Heavy menstrual periods"
Anemia,"Blood in stool possible"
Anemia,"Black tarry stools"
Anemia,"Vomiting blood rarely"
Anemia,"Weight loss unexplained"
Anemia,"Growth failure children"
Anemia,"Developmental delay"
Anemia,"Learning difficulties"
Anemia,"Behavior problems kids"
Anemia,"Poor school performance"
Anemia,"Work absence adults"
Anemia,"Social withdrawal"
Anemia,"Depression common"
Anemia,"Anxiety symptoms"
Anemia,"Quality of life poor"
Anemia,"Exercise avoidance"
Anemia,"Sports limitation"
Anemia,"Physical restriction"
Anemia,"Daily tasks difficult"
Anemia,"Climbing stairs hard"
Anemia,"Walking distances problematic"
Anemia,"Housework challenging"
Anemia,"Shopping difficult"
Anemia,"Cooking exhausting"
Anemia,"Cleaning too much"
Anemia,"Bathing tiresome"
Anemia,"Dressing fatiguing"
Anemia,"Grooming effortful"
Anemia,"Work capacity reduced"
Anemia,"Productivity decreased"
Anemia,"Career limitations"
Anemia,"Income affected"
Anemia,"Insurance issues"
Anemia,"Medical costs"
Anemia,"Treatment expenses"
Anemia,"Supplement costs"
Anemia,"Travel for care"
Anemia,"Time off work"
Anemia,"Family burden"
Anemia,"Caregiver stress"
Anemia,"Relationship strain"
Anemia,"Social isolation"
Osteoarthritis,"Joint stiffness and pain affect knees"
Osteoarthritis,"Pain increases with activity and eases at rest"
Osteoarthritis,"Swelling and tenderness present in joints"
Osteoarthritis,"Morning stiffness lasts about thirty minutes"
Osteoarthritis,"Cracking sounds occur when moving joints"
Osteoarthritis,"Difficulty climbing stairs due to pain"
Osteoarthritis,"Hips ache during prolonged sitting periods"
Osteoarthritis,"Hands feel stiff and swollen in mornings"
Osteoarthritis,"Joint pain worsens in cold weather"
Osteoarthritis,"Reduced flexibility in joints noticeable"
Osteoarthritis,"Bony enlargements in finger joints"
Osteoarthritis,"Heberden nodes at finger tips"
Osteoarthritis,"Bouchard nodes at middle joints"
Osteoarthritis,"Knee joints grind during movement"
Osteoarthritis,"Hip pain radiates to groin area"
Osteoarthritis,"Spine osteoarthritis causes back pain"
Osteoarthritis,"Joint deformity develops gradually"
Osteoarthritis,"Muscle weakness around affected joints"
Osteoarthritis,"Joint instability and giving way"
Osteoarthritis,"Pain worse at end of day"
Osteoarthritis,"Weather changes affect pain level"
Osteoarthritis,"Overweight worsens joint symptoms"
Osteoarthritis,"Previous joint injury predisposes"
Osteoarthritis,"Family history of arthritis exists"
Osteoarthritis,"Difficulty rising from chairs"
Osteoarthritis,"Problems with bending over"
Osteoarthritis,"Trouble lifting objects"
Osteoarthritis,"Pain that improves with gentle movement"
Osteoarthritis,"Walking distance limited"
Osteoarthritis,"Standing time reduced"
Osteoarthritis,"Sleep disturbed by pain"
Osteoarthritis,"Fatigue from discomfort"
Osteoarthritis,"Depression from limitations"
Osteoarthritis,"Anxiety about worsening"
Osteoarthritis,"Social activities limited"
Osteoarthritis,"Work capacity decreased"
Osteoarthritis,"Hobbies become difficult"
Osteoarthritis,"Sports participation stops"
Osteoarthritis,"Exercise tolerance low"
Osteoarthritis,"Mobility aids needed"
Osteoarthritis,"Pain medications required"
Osteoarthritis,"Physical therapy helpful"
Osteoarthritis,"Occupational therapy beneficial"
Osteoarthritis,"Joint injections sometimes"
Osteoarthritis,"Surgery consideration eventual"
Osteoarthritis,"Quality of life affected"
Osteoarthritis,"Daily tasks challenging"
Osteoarthritis,"Personal care difficult"
Osteoarthritis,"Household chores hard"
Osteoarthritis,"Shopping becomes burden"
Osteoarthritis,"Driving sometimes painful"
Osteoarthritis,"Travel limitations occur"
Osteoarthritis,"Recreation restricted"
Osteoarthritis,"Family role changes"
Osteoarthritis,"Relationship strain"
Osteoarthritis,"Financial burden"
Osteoarthritis,"Medical costs significant"
Osteoarthritis,"Time off work"
Osteoarthritis,"Early retirement possible"
Osteoarthritis,"Disability application"
Osteoarthritis,"Insurance challenges"
Osteoarthritis,"Treatment adherence"
Osteoarthritis,"Medication side effects"
Osteoarthritis,"Supplement use common"
Osteoarthritis,"Diet modifications tried"
Osteoarthritis,"Weight loss attempts"
Osteoarthritis,"Exercise programs"
Osteoarthritis,"Swimming beneficial"
Osteoarthritis,"Walking helpful moderate"
Osteoarthritis,"Cycling sometimes good"
Osteoarthritis,"Yoga adapted forms"
Osteoarthritis,"Tai chi beneficial"
Osteoarthritis,"Physical activity important"
Osteoarthritis,"Rest periods necessary"
Osteoarthritis,"Sleep position adjustments"
Osteoarthritis,"Chair selection important"
Osteoarthritis,"Bed modifications helpful"
Osteoarthritis,"Bathroom safety measures"
Osteoarthritis,"Home adaptations needed"
Osteoarthritis,"Workplace modifications"
Osteoarthritis,"Car adaptations sometimes"
Osteoarthritis,"Mobility equipment"
Osteoarthritis,"Walking aids useful"
Osteoarthritis,"Orthotics sometimes"
Osteoarthritis,"Braces for support"
Osteoarthritis,"Splints for rest"
Osteoarthritis,"Heat therapy helpful"
Osteoarthritis,"Cold packs beneficial"
Osteoarthritis,"Massage therapy"
Osteoarthritis,"Acupuncture tried"
Osteoarthritis,"Chiropractic care"
Osteoarthritis,"Osteopathic manipulation"
Osteoarthritis,"Naturopathic approaches"
Osteoarthritis,"Herbal remedies"
Osteoarthritis,"Traditional medicine"
Osteoarthritis,"Cultural practices"
Osteoarthritis,"Spiritual healing"
Osteoarthritis,"Mind-body techniques"
Osteoarthritis,"Meditation practice"
Osteoarthritis,"Relaxation methods"
Chickenpox,"Itchy red spots all over body"
Chickenpox,"Blisters appear on face and torso"
Chickenpox,"Fever accompanies the skin rash"
Chickenpox,"Feeling tired with body aches"
Chickenpox,"Blisters crust over after few days"
Chickenpox,"Rash spreads from torso to limbs"
Chickenpox,"Itching worsens significantly at night"
Chickenpox,"Mild nausea and general discomfort"
Chickenpox,"Rash appears in clusters very itchy"
Chickenpox,"Headaches along with fever and rash"
Chickenpox,"Rash appears in successive crops"
Chickenpox,"Lesions in different stages present"
Chickenpox,"Fever precedes rash by 1-2 days"
Chickenpox,"Contagious until all lesions crusted"
Chickenpox,"Scratching leads to bacterial infection"
Chickenpox,"Lesions can scar if scratched excessively"
Chickenpox,"Mouth and genital lesions painful"
Chickenpox,"Immunocompromised get severe disease"
Chickenpox,"Pneumonia complication in adults"
Chickenpox,"Encephalitis rare complication"
Chickenpox,"Reye syndrome with aspirin use"
Chickenpox,"Congenital varicella in pregnancy"
Chickenpox,"Shingles may develop later"
Chickenpox,"Loss of appetite common"
Chickenpox,"Sore throat sometimes present"
Chickenpox,"Cough may develop"
Chickenpox,"Runny nose occasional"
Chickenpox,"Swollen lymph nodes"
Chickenpox,"Dehydration risk"
Chickenpox,"Fatigue persistent"
Chickenpox,"Irritability in children"
Chickenpox,"Sleep disturbance"
Chickenpox,"Difficulty concentrating"
Chickenpox,"School absence required"
Chickenpox,"Work missed necessary"
Chickenpox,"Isolation needed"
Chickenpox,"Bathing restrictions"
Chickenpox,"Lotion application helpful"
Chickenpox,"Antihistamines for itching"
Chickenpox,"Pain relievers careful"
Chickenpox,"Antiviral treatment possible"
Chickenpox,"Hospitalization rare"
Chickenpox,"Complication monitoring"
Chickenpox,"Fever management important"
Chickenpox,"Hydration essential"
Chickenpox,"Nutrition maintenance"
Chickenpox,"Rest crucial"
Chickenpox,"Recovery gradual"
Chickenpox,"Immunity lifelong usually"
Chickenpox,"Vaccine available"
Chickenpox,"Prevention possible"
Chickenpox,"Outbreak concerns"
Chickenpox,"School exclusion"
Chickenpox,"Workplace avoidance"
Chickenpox,"Travel restrictions"
Chickenpox,"Public health notification"
Chickenpox,"Infection control"
Chickenpox,"Hand hygiene important"
Chickenpox,"Surface cleaning"
Chickenpox,"Laundry precautions"
Chickenpox,"Dish sharing avoidance"
Chickenpox,"Utensil separation"
Chickenpox,"Towel individual use"
Chickenpox,"Bedding changes frequent"
Chickenpox,"Nail trimming prevents scratching"
Chickenpox,"Mittens for children"
Chickenpox,"Cool baths soothing"
Chickenpox,"Oatmeal baths helpful"
Chickenpox,"Baking soda baths"
Chickenpox,"Calamine lotion application"
Chickenpox,"Antibiotics if infected"
Chickenpox,"Fever reducers careful"
Chickenpox,"Aspirin avoidance critical"
Chickenpox,"Ibuprofen caution"
Chickenpox,"Acetaminophen appropriate"
Chickenpox,"Antiviral timing important"
Chickenpox,"Treatment duration"
Chickenpox,"Symptom monitoring"
Chickenpox,"Complication signs watch"
Chickenpox,"Breathing difficulty emergency"
Chickenpox,"Confusion concerning"
Chickenpox,"Severe headache warning"
Chickenpox,"Stiff neck alarming"
Chickenpox,"Vision changes serious"
Chickenpox,"Balance problems concerning"
Chickenpox,"Seizures emergency"
Chickenpox,"Dehydration signs"
Chickenpox,"Urine output monitoring"
Chickenpox,"Skin infection signs"
Chickenpox,"Fever persistence"
Chickenpox,"Rash worsening"
Chickenpox,"New symptoms development"
Chickenpox,"Medication reactions"
Chickenpox,"Allergy concerns"
Chickenpox,"Side effects monitoring"
Chickenpox,"Follow-up care"
Chickenpox,"Recovery timeline"
Chickenpox,"Return to school"
Chickenpox,"Work resumption"
Chickenpox,"Activity gradual"
Diabetes,"Feeling thirsty all the time"
Diabetes,"Frequent urination disturbing sleep"
Diabetes,"Feeling fatigued and weak daily"
Diabetes,"Blurred vision occurs occasionally"
Diabetes,"Slow-healing cuts and bruises"
Diabetes,"Hands and feet feel numb sometimes"
Diabetes,"Sudden weight loss without trying"
Diabetes,"Skin infections keep recurring"
Diabetes,"Feeling hungry even after eating"
Diabetes,"Tingling sensation in legs"
Diabetes,"Frequent yeast infections"
Diabetes,"Areas of darkened skin appear"
Diabetes,"Mood changes and irritability"
Diabetes,"Dry mouth persists constantly"
Diabetes,"Itchy skin especially in groin"
Diabetes,"Sweet fruity breath odor"
Diabetes,"Confusion or difficulty thinking"
Diabetes,"Loss of consciousness in severe cases"
Diabetes,"Diabetic ketoacidosis symptoms"
Diabetes,"Hyperosmolar hyperglycemic state"
Diabetes,"Foot ulcers develop slowly"
Diabetes,"Vision changes fluctuate"
Diabetes,"Increased appetite despite weight loss"
Diabetes,"Bedwetting in children"
Diabetes,"Irritability in kids"
Diabetes,"Growth problems children"
Diabetes,"Development delays possible"
Diabetes,"Learning difficulties sometimes"
Diabetes,"Behavior changes noticeable"
Diabetes,"School performance affected"
Diabetes,"Work productivity decreased"
Diabetes,"Social activities limited"
Diabetes,"Exercise tolerance reduced"
Diabetes,"Sexual dysfunction possible"
Diabetes,"Infertility concerns"
Diabetes,"Pregnancy complications"
Diabetes,"Birth risks increased"
Diabetes,"Heart disease risk higher"
Diabetes,"Stroke risk elevated"
Diabetes,"Kidney problems develop"
Diabetes,"Nerve damage gradual"
Diabetes,"Eye complications possible"
Diabetes,"Foot problems serious"
Diabetes,"Skin conditions frequent"
Diabetes,"Dental issues more common"
Diabetes,"Hearing impairment possible"
Diabetes,"Alzheimer risk increased"
Diabetes,"Depression more common"
Diabetes,"Anxiety disorders frequent"
Diabetes,"Eating disorders sometimes"
Diabetes,"Sleep problems common"
Diabetes,"Breathing issues possible"
Diabetes,"Digestive problems occur"
Diabetes,"Urinary tract infections"
Diabetes,"Skin infections frequent"
Diabetes,"Bone fractures more likely"
Diabetes,"Joint problems develop"
Diabetes,"Mobility issues possible"
Diabetes,"Balance problems occur"
Diabetes,"Coordination difficulties"
Diabetes,"Memory problems sometimes"
Diabetes,"Concentration issues"
Diabetes,"Decision making affected"
Diabetes,"Problem solving harder"
Diabetes,"Work performance decreased"
Diabetes,"Driving safety concerns"
Diabetes,"Medication management"
Diabetes,"Blood sugar monitoring"
Diabetes,"Diet restrictions necessary"
Diabetes,"Exercise planning important"
Diabetes,"Travel considerations"
Diabetes,"Insurance challenges"
Diabetes,"Cost of care significant"
Diabetes,"Time commitment substantial"
Diabetes,"Family burden possible"
Diabetes,"Relationship strain"
Diabetes,"Social isolation risk"
Diabetes,"Employment issues"
Diabetes,"Disability possible"
Diabetes,"Life expectancy affected"
Diabetes,"Quality of life impact"
Diabetes,"Daily management required"
Diabetes,"Emergency preparedness"
Diabetes,"Hospitalization sometimes"
Diabetes,"Surgery risks higher"
Diabetes,"Anesthesia concerns"
Diabetes,"Wound healing slow"
Diabetes,"Infection risk increased"
Diabetes,"Medication side effects"
Diabetes,"Treatment adherence"
Diabetes,"Monitoring frequency"
Diabetes,"Follow-up appointments"
Diabetes,"Specialist care needed"
Diabetes,"Team approach best"
Diabetes,"Education important"
Diabetes,"Self-management crucial"
Diabetes,"Support systems valuable"
Diabetes,"Technology helpful"
Diabetes,"Research ongoing"
Diabetes,"New treatments available"
Hypertension,"Occasional headaches and dizziness"
Hypertension,"Heart beats rapidly without reason"
Hypertension,"Shortness of breath on mild activity"
Hypertension,"Sometimes experience nosebleeds"
Hypertension,"Fatigue and weakness frequent"
Hypertension,"Blurred vision occasionally"
Hypertension,"Swelling occurs in feet and ankles"
Hypertension,"Chest discomfort during stress"
Hypertension,"Sleep disturbed due to palpitations"
Hypertension,"Occasional confusion and lightheadedness"
Hypertension,"Blood pressure readings consistently high"
Hypertension,"Family history of high blood pressure"
Hypertension,"Salt sensitivity causes pressure spikes"
Hypertension,"Fluttering in chest called heart palpitations"
Hypertension,"Blood spots in eyes from ruptured vessels"
Hypertension,"Facial flushing especially after exertion"
Hypertension,"Buzzing or whooshing sound in ears"
Hypertension,"Cold sweats without physical activity"
Hypertension,"Alcohol consumption raises pressure"
Hypertension,"Obesity contributes to hypertension"
Hypertension,"Stressful job affects blood pressure"
Hypertension,"Sleep apnea coexists with hypertension"
Hypertension,"Kidney disease causes secondary hypertension"
Hypertension,"Medication needed for control"
Hypertension,"Lifestyle changes help management"
Hypertension,"White coat hypertension in clinic"
Hypertension,"Malignant hypertension emergency"
Hypertension,"Retinal changes in eye exam"
Hypertension,"Heart enlargement possible"
Hypertension,"Kidney damage gradual"
Hypertension,"Stroke risk increased"
Hypertension,"Heart attack risk higher"
Hypertension,"Vision loss possible"
Hypertension,"Memory problems sometimes"
Hypertension,"Concentration difficulties"
Hypertension,"Balance issues occasional"
Hypertension,"Tinnitus or ringing ears"
Hypertension,"Facial flushing sometimes"
Hypertension,"Sweating episodes"
Hypertension,"Anxiety symptoms"
Hypertension,"Depression common"
Hypertension,"Sleep disturbances"
Hypertension,"Sexual dysfunction"
Hypertension,"Exercise intolerance"
Hypertension,"Heat sensitivity"
Hypertension,"Cold intolerance"
Hypertension,"Weather effects"
Hypertension,"Seasonal variations"
Hypertension,"Medication side effects"
Hypertension,"Treatment adherence issues"
Hypertension,"Cost concerns"
Hypertension,"Insurance challenges"
Hypertension,"Workplace stress"
Hypertension,"Family history strong"
Hypertension,"Age-related increase"
Hypertension,"Gender differences"
Hypertension,"Racial disparities"
Hypertension,"Socioeconomic factors"
Hypertension,"Education level"
Hypertension,"Access to care"
Hypertension,"Screening important"
Hypertension,"Early detection"
Hypertension,"Prevention possible"
Hypertension,"Lifestyle modifications"
Hypertension,"Diet changes necessary"
Hypertension,"Exercise beneficial"
Hypertension,"Weight management"
Hypertension,"Stress reduction"
Hypertension,"Sleep improvement"
Hypertension,"Alcohol moderation"
Hypertension,"Smoking cessation"
Hypertension,"Medication routine"
Hypertension,"Monitoring regular"
Hypertension,"Follow-up essential"
Hypertension,"Complication prevention"
Hypertension,"Quality of life impact"
Hypertension,"Daily management"
Hypertension,"Emergency planning"
Hypertension,"Hospitalization sometimes"
Hypertension,"Surgery considerations"
Hypertension,"Pregnancy concerns"
Hypertension,"Aging with condition"
Hypertension,"Long-term outlook"
Hypertension,"Research advances"
Hypertension,"New treatments"
Hypertension,"Hope maintenance"
Hypertension,"Coping strategies"
Hypertension,"Support systems"
Hypertension,"Patient education"
Hypertension,"Self-management"
Hypertension,"Advocacy important"
Hypertension,"Awareness raising"
Hypertension,"Community support"
Hypertension,"Online resources"
Hypertension,"Mobile apps helpful"
Hypertension,"Technology aids"
Hypertension,"Remote monitoring"
Hypertension,"Telemedicine options"
Hypertension,"Digital health"
Hypertension,"Future directions"
Flu,"Fever chills and body aches"
Flu,"Sore throat and cough persistent"
Flu,"Feeling extremely tired and weak"
Flu,"Headache and nasal congestion present"
Flu,"Sneezing and runny nose accompany fever"
Flu,"Experiencing mild nausea with body aches"
Flu,"Appetite very low currently"
Flu,"Feeling chills even under warm blankets"
Flu,"Muscle aches make movement uncomfortable"
Flu,"Occasionally coughing up clear phlegm"
Flu,"Sudden onset of symptoms"
Flu,"High fever up to 104°F"
Flu,"Extreme exhaustion profound"
Flu,"Chest discomfort with cough"
Flu,"Complications like pneumonia"
Flu,"Seasonal occurrence typical"
Flu,"Vaccine prevents infection"
Flu,"Antiviral treatment available"
Flu,"Contagious before symptoms"
Flu,"Incubation 1-4 days"
Flu,"Duration 1-2 weeks"
Flu,"Weakness persists weeks"
Flu,"Cough may linger"
Flu,"Fatigue prolonged"
Flu,"Exercise intolerance"
Flu,"Work absence necessary"
Flu,"School missed required"
Flu,"Social isolation needed"
Flu,"Hydration important"
Flu,"Rest crucial recovery"
Flu,"Pain relievers helpful"
Flu,"Fever reducers appropriate"
Flu,"Antibiotics not effective"
Flu,"Complication monitoring"
Flu,"Hospitalization sometimes"
Flu,"Elderly risk higher"
Flu,"Children vulnerable"
Flu,"Pregnant women risk"
Flu,"Chronic conditions worsen"
Flu,"Asthma exacerbation"
Flu,"Diabetes affected"
Flu,"Heart problems possible"
Flu,"Kidney issues sometimes"
Flu,"Liver concerns rare"
Flu,"Neurological complications"
Flu,"Muscle inflammation"
Flu,"Joint pain possible"
Flu,"Ear infections children"
Flu,"Sinus infections possible"
Flu,"Bronchitis common"
Flu,"Pneumonia serious"
Flu,"Death possible rare"
Flu,"Prevention important"
Flu,"Hand hygiene critical"
Flu,"Surface cleaning"
Flu,"Avoidance sick people"
Flu,"Mask wearing helpful"
Flu,"Social distancing"
Flu,"Vaccine effectiveness"
Flu,"Yearly vaccination"
Flu,"Strain variations"
Flu,"Mutation concerns"
Flu,"Pandemic potential"
Flu,"Public health measures"
Flu,"School closures"
Flu,"Workplace adjustments"
Flu,"Travel restrictions"
Flu,"Economic impact"
Flu,"Healthcare burden"
Flu,"Emergency preparedness"
Flu,"Outbreak response"
Flu,"Surveillance systems"
Flu,"Research ongoing"
Flu,"Treatment development"
Flu,"Vaccine improvement"
Flu,"Global cooperation"
Flu,"Seasonal patterns"
Flu,"Geographic variations"
Flu,"Climate effects"
Flu,"Weather influences"
Flu,"Indoor crowding"
Flu,"School transmission"
Flu,"Workplace spread"
Flu,"Community outbreaks"
Flu,"Hospital outbreaks"
Flu,"Nursing home concerns"
Flu,"Vulnerable populations"
Flu,"Disparities evident"
Flu,"Access to care"
Flu,"Treatment timing"
Flu,"Early intervention"
Flu,"Symptom management"
Flu,"Comfort measures"
Flu,"Recovery support"
Flu,"Return to activities"
Flu,"Immunity duration"
Flu,"Reinfection possible"
Flu,"Strain cross-protection"
Flu,"Vaccine updates"
Flu,"Public education"
COVID-19,"Dry cough and shortness of breath"
COVID-19,"Fever and fatigue constant symptoms"
COVID-19,"Loss of taste and smell occurred suddenly"
COVID-19,"Feeling muscle aches and headaches"
COVID-19,"Sore throat and mild chest tightness"
COVID-19,"Experiencing chills and sweating episodes"
COVID-19,"Difficulty breathing worsens with activity"
COVID-19,"Feeling unusually tired even at rest"
COVID-19,"Gastrointestinal symptoms like diarrhea"
COVID-19,"Mild skin rashes appeared recently"
COVID-19,"Brain fog and confusion present"
COVID-19,"Sleep problems and insomnia"
COVID-19,"Anxiety and depression symptoms"
COVID-19,"Hair loss occurs after infection"
COVID-19,"Heart palpitations noticed"
COVID-19,"Joint pain persists weeks"
COVID-19,"Chest pain intermittent"
COVID-19,"Exercise intolerance develops"
COVID-19,"Memory problems evident"
COVID-19,"Long COVID symptoms continue"
COVID-19,"Vaccination status affects severity"
COVID-19,"Variant differences in symptoms"
COVID-19,"Testing positive confirmed"
COVID-19,"Isolation required"
COVID-19,"Quarantine necessary"
COVID-19,"Contact tracing"
COVID-19,"Public health measures"
COVID-19,"Mask wearing important"
COVID-19,"Social distancing"
COVID-19,"Hand hygiene critical"
COVID-19,"Surface cleaning"
COVID-19,"Ventilation important"
COVID-19,"Vaccine available"
COVID-19,"Booster shots recommended"
COVID-19,"Treatment options"
COVID-19,"Antiviral medications"
COVID-19,"Monoclonal antibodies"
COVID-19,"Hospitalization sometimes"
COVID-19,"ICU care possible"
COVID-19,"Ventilator support"
COVID-19,"Recovery variable"
COVID-19,"Reinfection possible"
COVID-19,"New variants concern"
COVID-19,"Global pandemic"
COVID-19,"Travel restrictions"
COVID-19,"Economic impact"
COVID-19,"Healthcare strain"
COVID-19,"Mental health impact"
COVID-19,"Education disruption"
COVID-19,"Work changes"
COVID-19,"Remote work"
COVID-19,"Online learning"
COVID-19,"Social isolation"
COVID-19,"Family separation"
COVID-19,"Grief and loss"
COVID-19,"Trauma responses"
COVID-19,"Stress increased"
COVID-19,"Anxiety disorders"
COVID-19,"Depression rates"
COVID-19,"Substance use"
COVID-19,"Domestic violence"
COVID-19,"Child abuse risk"
COVID-19,"Elder neglect"
COVID-19,"Disparities evident"
COVID-19,"Access issues"
COVID-19,"Vaccine equity"
COVID-19,"Treatment access"
COVID-19,"Testing availability"
COVID-19,"PPE shortages"
COVID-19,"Staffing shortages"
COVID-19,"Hospital capacity"
COVID-19,"Emergency preparedness"
COVID-19,"Research accelerated"
COVID-19,"Scientific collaboration"
COVID-19,"Treatment development"
COVID-19,"Vaccine development"
COVID-19,"Public health infrastructure"
COVID-19,"Global cooperation"
COVID-19,"Lessons learned"
COVID-19,"Future preparedness"
COVID-19,"Pandemic planning"
COVID-19,"Outbreak response"
COVID-19,"Surveillance systems"
COVID-19,"Early warning"
COVID-19,"Rapid response"
COVID-19,"COVID toes with red or purple lesions"
COVID-19,"Pink eye or conjunctivitis symptoms"
COVID-19,"Community engagement"
COVID-19,"Communication important"
COVID-19,"Trust building"
COVID-19,"Misinformation combat"
COVID-19,"Education crucial"
COVID-19,"Awareness raising"
COVID-19,"Prevention emphasis"
COVID-19,"Protection measures"
COVID-19,"Risk reduction"
COVID-19,"Vulnerable protection"
COVID-19,"Workplace safety"
COVID-19,"School safety"
COVID-19,"Healthcare safety"
Tuberculosis,"Persistent cough lasting more than weeks"
Tuberculosis,"Feeling fatigue and night sweats"
Tuberculosis,"Weight loss noticeable without trying"
Tuberculosis,"Chest pain occurs while breathing deeply"
Tuberculosis,"Experiencing mild fever in the evenings"
Tuberculosis,"Coughing sometimes brings up blood"
Tuberculosis,"Shortness of breath worsens gradually"
Tuberculosis,"Having swelling in the lymph nodes"
Tuberculosis,"Feeling chills and loss of appetite"
Tuberculosis,"Body aches even with adequate rest"
Tuberculosis,"Contact with TB patient confirmed"
Tuberculosis,"Immune compromised status"
Tuberculosis,"Previous TB infection history"
Tuberculosis,"Travel to high-risk areas"
Tuberculosis,"Healthcare worker exposure"
Tuberculosis,"HIV coinfection possible"
Tuberculosis,"Drug-resistant strain suspected"
Tuberculosis,"Extrapulmonary TB symptoms"
Tuberculosis,"TB meningitis headaches"
Tuberculosis,"Bone TB causes pain"
Tuberculosis,"Genitourinary TB symptoms"
Tuberculosis,"Miliary TB widespread"
Tuberculosis,"Diagnosis confirmed"
Tuberculosis,"Treatment lengthy"
Tuberculosis,"Medication adherence critical"
Tuberculosis,"Side effects management"
Tuberculosis,"Monitoring regular"
Tuberculosis,"Follow-up essential"
Tuberculosis,"Contact investigation"
Tuberculosis,"Infection control"
Tuberculosis,"Isolation sometimes"
Tuberculosis,"Public health reporting"
Tuberculosis,"Global health concern"
Tuberculosis,"Poverty association"
Tuberculosis,"Malnutrition risk"
Tuberculosis,"Overcrowding factor"
Tuberculosis,"Ventilation important"
Tuberculosis,"Prevention possible"
Tuberculosis,"Vaccine available"
Tuberculosis,"BCG vaccination"
Tuberculosis,"Screening programs"
Tuberculosis,"Early detection"
Tuberculosis,"Treatment success"
Tuberculosis,"Cure achievable"
Tuberculosis,"Drug resistance concern"
Tuberculosis,"Research ongoing"
Tuberculosis,"New treatments"
Tuberculosis,"Diagnostic advances"
Tuberculosis,"Point-of-care tests"
Tuberculosis,"Molecular diagnostics"
Tuberculosis,"Imaging studies"
Tuberculosis,"Chest X-ray changes"
Tuberculosis,"Sputum testing"
Tuberculosis,"Culture confirmation"
Tuberculosis,"Drug sensitivity"
Tuberculosis,"Treatment monitoring"
Tuberculosis,"Symptom improvement"
Tuberculosis,"Weight gain expected"
Tuberculosis,"Appetite return"
Tuberculosis,"Energy improvement"
Tuberculosis,"Cough resolution"
Tuberculosis,"Fever disappearance"
Tuberculosis,"Night sweats stop"
Tuberculosis,"Return to work"
Tuberculosis,"Social reintegration"
Tuberculosis,"Stigma concerns"
Tuberculosis,"Discrimination possible"
Tuberculosis,"Mental health impact"
Tuberculosis,"Depression common"
Tuberculosis,"Anxiety symptoms"
Tuberculosis,"Treatment burden"
Tuberculosis,"Cost considerations"
Tuberculosis,"Access to care"
Tuberculosis,"Health disparities"
Tuberculosis,"Global efforts"
Tuberculosis,"WHO guidelines"
Tuberculosis,"National programs"
Tuberculosis,"Community engagement"
Tuberculosis,"Patient support"
Tuberculosis,"Adherence support"
Tuberculosis,"Directly observed therapy"
Tuberculosis,"Mobile health"
Tuberculosis,"Digital adherence"
Tuberculosis,"Telemedicine options"
Tuberculosis,"Remote monitoring"
Tuberculosis,"Home-based care"
Tuberculosis,"Community treatment"
Tuberculosis,"Primary care integration"
Tuberculosis,"Specialist referral"
Tuberculosis,"Hospitalization sometimes"
Tuberculosis,"Surgery rarely"
Tuberculosis,"Rehabilitation needed"
Tuberculosis,"Nutrition support"
Tuberculosis,"Social services"
Tuberculosis,"Economic support"
Tuberculosis,"Employment concerns"
Tuberculosis,"Housing issues"
Tuberculosis,"Food security"
Tuberculosis,"Transportation needs"
Tuberculosis,"Education important"
Allergy,"Sneezing and runny nose frequently"
Allergy,"Itchy eyes and watery eyes common"
Allergy,"Rashes appear after exposure to pollen"
Allergy,"Swelling occurs around lips and eyes"
Allergy,"Feeling fatigued and irritable often"
Allergy,"Hives appear after eating certain foods"
Allergy,"Occasional headaches and congestion"
Allergy,"Throat feels itchy and tight sometimes"
Allergy,"Skin redness after contact with materials"
Allergy,"Experiencing mild nausea after eating triggers"
Allergy,"Seasonal patterns to symptoms"
Allergy,"Family history of allergies"
Allergy,"Asthma symptoms triggered"
Allergy,"Anaphylaxis severe reaction"
Allergy,"Food allergy identified"
Allergy,"Drug allergy reaction"
Allergy,"Insect sting allergy"
Allergy,"Latex allergy present"
Allergy,"Dust mite allergy"
Allergy,"Pet dander allergy"
Allergy,"Mold allergy symptoms"
Allergy,"Testing available"
Allergy,"Diagnosis confirmed"
Allergy,"Treatment options"
Allergy,"Avoidance strategies"
Allergy,"Medication management"
Allergy,"Immunotherapy possible"
Allergy,"Emergency preparedness"
Allergy,"Epinephrine auto-injector"
Allergy,"Action plan important"
Allergy,"School accommodations"
Allergy,"Workplace adjustments"
Allergy,"Restaurant dining caution"
Allergy,"Travel considerations"
Allergy,"Label reading essential"
Allergy,"Cross-contamination awareness"
